attempt,distance_m,target_color,crop_scale,interval_s,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,color_visible,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_hue_circular_mean_deg,red_saturation_mean,red_value_mean,red_b_mean,red_g_mean,red_r_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,status,started_at,finished_at
44,3.0,red,0.6,0.2,125.0,50.0,130,110,1,102.418527,2710,0.2940538194444444,356.1863559881909,144.82140221402213,137.92767527675278,64.42287822878228,59.60405904059041,137.92767527675278,2619.0,63.245553203367585,113,26744715840292,success,2026-07-27T21:06:55.176+09:00,2026-07-27T21:06:55.307+09:00
45,3.0,red,0.6,0.2,125.0,50.0,130,110,1,32.390601,2726,0.2957899305555556,356.5917161549908,144.96698459280998,137.7868672046955,63.853631694790906,59.46074834922964,137.7868672046955,2636.0,63.245553203367585,114,26744785690849,success,2026-07-27T21:06:55.311+09:00,2026-07-27T21:06:55.377+09:00
46,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.840857,2734,0.2966579861111111,356.51880023321013,145.33321141185075,137.84491587417702,63.82626188734455,59.28127286027798,137.84491587417702,2645.0,63.245553203367585,116,26744918903019,success,2026-07-27T21:06:55.381+09:00,2026-07-27T21:06:55.499+09:00
47,3.0,red,0.6,0.2,125.0,50.0,130,110,1,39.995836,2736,0.296875,356.60690376732936,145.21271929824562,137.72880116959064,63.64108187134503,59.29459064327485,137.72880116959064,2645.0,63.245553203367585,117,26744988760057,success,2026-07-27T21:06:55.503+09:00,2026-07-27T21:06:55.576+09:00
48,3.0,red,0.6,0.2,125.0,50.0,130,110,1,93.138575,2691,0.2919921875,356.82288944890104,144.5444072835377,136.96469713861018,63.287253808992936,59.330732069862506,136.96469713861018,2602.0,63.245553203367585,119,26745118785404,success,2026-07-27T21:06:55.580+09:00,2026-07-27T21:06:55.702+09:00
49,3.0,red,0.6,0.2,125.0,50.0,130,110,1,37.894473,2653,0.2878689236111111,356.94176539981623,144.5887674330946,137.29325292122127,63.21975122502827,59.47304937806257,137.29325292122127,2565.5,64.07027391856539,120,26745186294987,success,2026-07-27T21:06:55.705+09:00,2026-07-27T21:06:55.776+09:00
50,3.0,red,0.6,0.2,125.0,50.0,130,110,1,94.420238,2707,0.2937282986111111,356.7833278686303,144.36756557074253,136.92500923531585,63.44144809752493,59.410786848910234,136.92500923531585,2618.5,63.245553203367585,122,26745319478676,success,2026-07-27T21:06:55.781+09:00,2026-07-27T21:06:55.902+09:00
51,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.510629,2685,0.2913411458333333,356.6072129410124,144.50837988826817,137.05437616387337,63.67746741154562,59.3951582867784,137.05437616387337,2598.0,63.245553203367585,123,26745386600537,success,2026-07-27T21:06:55.906+09:00,2026-07-27T21:06:55.978+09:00
52,3.0,red,0.6,0.2,125.0,50.0,130,110,1,93.405964,2672,0.2899305555555556,356.7650563452023,144.7806886227545,137.1500748502994,63.31399700598802,59.29266467065868,137.1500748502994,2582.0,64.07027391856539,125,26745519568320,success,2026-07-27T21:06:55.982+09:00,2026-07-27T21:06:56.102+09:00
53,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.527128,2699,0.2928602430555555,356.6233777218082,144.23156724712857,136.80844757317524,63.81215264912931,59.450907743608745,136.80844757317524,2611.0,64.07027391856539,126,26745586411960,success,2026-07-27T21:06:56.106+09:00,2026-07-27T21:06:56.176+09:00
54,3.0,red,0.6,0.2,125.0,50.0,130,110,1,92.977094,2680,0.2907986111111111,356.6090857314582,144.61716417910446,136.91828358208954,63.565298507462686,59.2839552238806,136.91828358208954,2591.0,64.07027391856539,128,26745718868410,success,2026-07-27T21:06:56.180+09:00,2026-07-27T21:06:56.303+09:00
55,3.0,red,0.6,0.2,125.0,50.0,130,110,1,34.676631,2638,0.2862413194444444,356.9011542618135,144.45375284306292,136.84874905231237,63.20887035633055,59.33017437452616,136.84874905231237,2549.5,63.245553203367585,129,26745787174268,success,2026-07-27T21:06:56.306+09:00,2026-07-27T21:06:56.381+09:00
56,3.0,red,0.6,0.2,125.0,50.0,130,110,1,88.631201,2662,0.2888454861111111,356.72625499835004,144.73854244928626,136.8031555221638,63.35199098422239,59.16453794139745,136.8031555221638,2575.0,64.07027391856539,131,26745919607645,success,2026-07-27T21:06:56.385+09:00,2026-07-27T21:06:56.503+09:00
57,3.0,red,0.6,0.2,125.0,50.0,130,110,1,37.368993,2701,0.2930772569444445,356.3348404420578,144.63272861903,136.70307293594965,63.77341725286931,59.191040355423915,136.70307293594965,2611.0,63.245553203367585,132,26745989173498,success,2026-07-27T21:06:56.506+09:00,2026-07-27T21:06:56.576+09:00
58,3.0,red,0.6,0.2,125.0,50.0,130,110,1,93.36613,2650,0.2875434027777778,356.72352095654463,144.22377358490567,136.67396226415093,63.42566037735849,59.386792452830186,136.67396226415093,2560.0,64.07027391856539,134,26746120080565,success,2026-07-27T21:06:56.581+09:00,2026-07-27T21:06:56.703+09:00
59,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.59348,2681,0.2909071180555555,356.6370325742627,144.41029466616934,136.85192092502797,63.59343528534129,59.360686311077956,136.85192092502797,2592.5,64.07027391856539,135,26746187823998,success,2026-07-27T21:06:56.707+09:00,2026-07-27T21:06:56.777+09:00
60,3.0,red,0.6,0.2,125.0,50.0,130,110,1,90.528565,2683,0.2911241319444445,356.6010782528427,144.51323145732388,136.57249347745062,63.53671263510995,59.16548639582557,136.57249347745062,2594.0,64.63745044476924,137,26746317845846,success,2026-07-27T21:06:56.783+09:00,2026-07-27T21:06:56.900+09:00
61,3.0,red,0.6,0.2,125.0,50.0,130,110,1,40.671389,2652,0.2877604166666667,356.74244033484786,143.920814479638,136.35935143288086,63.50188536953243,59.41289592760181,136.35935143288086,2563.5,64.07027391856539,138,26746388911972,success,2026-07-27T21:06:56.902+09:00,2026-07-27T21:06:56.976+09:00
62,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.627524,2696,0.29253472222222227,356.70044192344847,144.70103857566767,136.73479228486647,63.175816023738875,59.13612759643917,136.73479228486647,2607.0,64.07027391856539,140,26746518444080,success,2026-07-27T21:06:56.981+09:00,2026-07-27T21:06:57.099+09:00
63,3.0,red,0.6,0.2,125.0,50.0,130,110,1,41.858626,2676,0.2903645833333333,356.7279176078069,144.57623318385652,136.56913303437966,63.25896860986547,59.14424514200299,136.56913303437966,2587.0,64.63745044476924,141,26746589339393,success,2026-07-27T21:06:57.103+09:00,2026-07-27T21:06:57.180+09:00
64,3.0,red,0.6,0.2,125.0,50.0,130,110,1,89.077255,2657,0.2883029513888889,356.7067667441009,144.67595031990967,136.50094091080166,63.38577342867896,59.09183289424163,136.50094091080166,2566.0,64.07027391856539,143,26746719057611,success,2026-07-27T21:06:57.184+09:00,2026-07-27T21:06:57.300+09:00
65,3.0,red,0.6,0.2,125.0,50.0,130,110,1,45.254097,2647,0.2872178819444445,356.9534522180589,144.07517944843218,136.0060445787684,63.0173781639592,59.16055912353608,136.0060445787684,2560.0,64.07027391856539,144,26746792175176,success,2026-07-27T21:06:57.302+09:00,2026-07-27T21:06:57.381+09:00
